sentence,label
আমি ওবায় যাইতাম না,Sylhet
আমি ওবায় যাইমু,Sylhet
একটা কবিতা কও,Sylhet
মোর কবিতা পছন্দ,Sylhet
আমার কপাল ভাল,Sylhet
হে কিলাখান ঝিমার দেখ,Sylhet
কিতা পাইছো,Sylhet
আমি তোমারে দেখিয়া নিমু,Sylhet
ভুলিয়া গেছো,Sylhet
কিতা তরকারি?,Sylhet
আমি পারমু,Sylhet
হে পালাইছে,Sylhet
হে অনেক ডরালোক,Sylhet
তরকারি নাও,Sylhet
কান্দাত আও,Sylhet
আফনারে পাঠাইছে?,Sylhet
শিমুর গোলাপি রং পছন্দ,Sylhet
শিমুর আকাশী রং পছন্দ,Sylhet
শিমুর ধূসর রং পছন্দ,Sylhet
শিমুর মেরুন রং পছন্দ,Sylhet
শিমুর কমলা রং পছন্দ,Sylhet
শিমুর খয়েরি রং পছন্দ,Sylhet
আফনারা আগে জাউকা,Sylhet
আফনে কোন থাকি আইছইন,Sylhet
সামলাইয়া রাখিও,Sylhet
কিতা করবায় আমি যদি ঠিক থাকি,Sylhet
আমার মাত বুঝরে তুই,Sylhet
আমার পিছনে কিতা,Sylhet
তোমারে আমরা দেখিয়া নিমু,Sylhet
যাওয়ার সময় কোনানো গেছলে,Sylhet
জানটা ঘরে রাইক্ষা,Sylhet
মাহাত হাত দিয়া কও আমারে ধুকা দিতায় না,Sylhet
তোমার নাম লেখিয়া দিলাইছি,Sylhet
"না ও কইস, হা ও কইস",Sylhet
আমি জানি তুমি আইছো,Sylhet
তুমি কালকে আইও,Sylhet
আমি জানতাম তুমি আইবায়,Sylhet
সিটি কপোরেশন অপিশ আছে,Sylhet
বাউট সমস্যায় আছি,Sylhet
আমি হাচাউ বাক্কা অসহায় বোধ কোরিয়ার,Sylhet
আমি বাক্কা অসহায় বোধ কোরিয়ার,Sylhet
বাক্কা অসহায় বোধ কোরিয়ার,Sylhet
অসহায় বোধ কোরিয়ার,Sylhet
আমি হাচাউ বাক্কা অসহায়,Sylhet
ভিডিও বনানীর কিতা দরকার আছিল?,Sylhet
বনানীর কিতা দরকার আছিল?,Sylhet
মোরে বোলা,Sylhet
সিলেট থাকি আমার লগে দেখা করাত আইছিল,Sylhet
আমার লগে দেখা করাত আইছিল,Sylhet
হে সিলেট থাকি আমার লগে দেখা করাত আইছিল,Sylhet
সিলেট থাকি ঢাকাত আইছে,Sylhet
ছইবায় না,Sylhet
হই গেছি,Sylhet
মূল কথাত আও,Sylhet
আমি ভাত খাইতাম নায় ঘুষা করছি,Sylhet
আফনে আমারে ছাড়িয়া চইলা যাবা,Sylhet
বিয়া হইছিল বাক্কা বছর আগে,Sylhet
যাওনারে মাথ নাই,Sylhet
চিন্তা করতাছি কিচ্ছু একটা করমু,Sylhet
ইটা ভালা অইবো তল্লাইজ্ঞা,Sylhet
বাইত আওনের সময় হই গেছে,Sylhet
সে খাওন থামাইয়া কইলো,Sylhet
খাওন খাইতে গেছিল,Sylhet
মাথ না মাতিয়া খাওনও মন দে,Sylhet
